TBBmalloc: skip allocation functions replacement in ucrtbase.dll: unknown prologue for function _msize
Blender 3.6.7 (hash cbd81f283d58 built 2023-12-12 10:03:21)
Info: Total files 5 | Changed 5 | Failed 0
Fra:1 Mem:63.44M (Peak 63.44M) | Time:00:00.02 | Syncing Hair_wave_12
Fra:1 Mem:63.50M (Peak 63.50M) | Time:00:00.02 | Syncing Fringe_sweep_R
Fra:1 Mem:63.54M (Peak 63.54M) | Time:00:00.02 | Syncing Fringe_sweep_L
Fra:1 Mem:63.58M (Peak 63.58M) | Time:00:00.02 | Syncing Face_frame_L
Fra:1 Mem:63.63M (Peak 63.63M) | Time:00:00.02 | Syncing Face_frame_R
Fra:1 Mem:63.68M (Peak 63.68M) | Time:00:00.02 | Syncing Tank_top
Fra:1 Mem:64.13M (Peak 64.13M) | Time:00:00.02 | Syncing Front
Fra:1 Mem:64.13M (Peak 64.13M) | Time:00:00.02 | Syncing Side
Fra:1 Mem:64.13M (Peak 64.13M) | Time:00:00.02 | Syncing Back
Fra:1 Mem:64.13M (Peak 64.13M) | Time:00:00.02 | Syncing ThreeQuarter
Fra:1 Mem:64.13M (Peak 64.13M) | Time:00:00.02 | Syncing Key
Fra:1 Mem:64.13M (Peak 64.13M) | Time:00:00.02 | Syncing Fill
Fra:1 Mem:64.13M (Peak 64.13M) | Time:00:00.02 | Syncing Rim
Fra:1 Mem:64.14M (Peak 64.14M) | Time:00:00.02 | Syncing Studio_ground
Fra:1 Mem:64.09M (Peak 64.14M) | Time:00:00.02 | Rendering 1 / 96 samples
Fra:1 Mem:57.43M (Peak 64.14M) | Time:00:00.11 | Rendering 26 / 96 samples
Fra:1 Mem:57.43M (Peak 64.14M) | Time:00:00.17 | Rendering 51 / 96 samples
Fra:1 Mem:57.43M (Peak 64.14M) | Time:00:00.23 | Rendering 76 / 96 samples
Fra:1 Mem:57.43M (Peak 64.14M) | Time:00:00.27 | Rendering 96 / 96 samples
Saved: 'E:\Blender\game_character_gyaru\renders_v2\side.png'
 Time: 00:00.39 (Saving: 00:00.10)

